#,Resource Name,year,Publication,Source,Relevant,Reason
1,A co-evolutionary genetic algorithms approach to detect video game bugs,2022,J SYST SOFTWARE,WoS,duplicate-yes,
2,Automated Video Game Testing Using Synthetic and Humanlike Agents,2021,IEEE T GAMES,WoS,duplicate-yes,
3,Exploring the use of online video games to detect personality dichotomies,2017,ONLINE INFORM REV,WoS,no,"Using online video games to detect personality dichotomies, does not focus on game testing"
4,"General Video Game AI: A Multitrack Framework for Evaluating Agents, Games, and Content Generation Algorithms",2019,IEEE T GAMES,WoS,duplicate-no,
5,Go-Explore Complex 3-D Game Environments for Automated Reachability Testing,2022,IEEE T GAMES,WoS,duplicate-yes,
6,A game engine designed to simplify 2D video game development,2020,MULTIMED TOOLS APPL,WoS,no,Focusses on 2d game develpment
7,Automated video game parameter tuning with XVGDL,2022,J UNIVERS COMPUT SCI,WoS,no,game develpment
8,From traditional gaming to mobile gaming: Video game players' switching behaviour!,2022,ENTERTAIN COMPUT,WoS,no,User behaviour
9,Rolling Horizon Evolutionary Algorithms for General Video Game Playing,2022,IEEE T GAMES,WoS,no,General video game playing not testing
10,Video-games: Do they require general intelligence?,2009,COMPUT EDUC,WoS,no,Investigation into whether video games require general intelligence
11,Rafting multiplayer video games,2022,SOFTWARE PRACT EXPER,WoS,no,Design and analysis of multiplayer rafting video games
12,A video game for the neuropsychological screening of children,2017,ENTERTAIN COMPUT,WoS,no,games as tools: Development of a video game for neuropsychological screening of children
13,Cloud Gaming with Foveated Video Encoding,2020,ACM T MULTIM COMPUT,WoS,no,Cloud gaming implementation
14,Facial Features of Non-player Creatures Can Influence Moral Decisions in Video Games,2017,ACM T APPL PERCEPT,WoS,no,User behaviour: Influence of facial features of non-player creatures on moral decisions in video games
15,Learning Prosody in a Video Game-Based Learning Approach,2019,MULTIMODAL TECHNOLOG,WoS,no,Game as tool: Learning Prosody
16,Improving Youngsters' Resilience Through Video Game-Based Interventions,2020,VIETNAM J COMPUT SCI,WoS,no,games as tools: Enhancing youngsters' resilience 
17,The 2014 General Video Game Playing Competition,2016,IEEE T COMP INTEL AI,WoS,no,
